order_id,order_date,customer_id,product_id,quantity,unit_price,status,region
ORD-001,2024-01-15,C001,P003,2,24.99,complete,North West
ORD-002,15/01/2024,C002,P007,1,14.99,Complete,South East
ORD-003,2024-01-16,C003,P001,1,89.99,COMPLETE,Scotland
ORD-004,16/1/24,C004,P005,2,£129.99,complete,Yorkshire
ORD-005,2024-01-17,C005,P009,1,49.99,pending,London
ORD-006,2024-01-18,C006,P002,1,59.99,complete,Midlands
ORD-007,2024-01-18,C007,,3,24.99,complete,South West
ORD-008,18/01/2024,C008,P006,1,£149.99,Pending,Wales
ORD-009,2024-01-19,C001,P008,2,19.99,complete,North West
ORD-010,2024-01-20,C009,P004,1,18.99,cancelled,
ORD-011,20/01/2024,C010,P001,two,89.99,complete,Scotland
ORD-012,2024-01-21,C011,P007,3,14.99,Complete,London
ORD-013,21/1/24,C012,P003,0,24.99,complete,East Midlands
ORD-014,2024-01-22,C013,P005,1,£129.99,COMPLETE,South East
ORD-015,2024-01-22,C014,P009,2,49.99,pending,Midlands
ORD-016,22/01/2024,C015,P002,1,59.99,complete,North East
ORD-017,2024-01-23,C016,P006,1,149.99,Cancelled,
ORD-018,2024-01-24,C017,P004,4,18.99,complete,South West
ORD-019,24/01/2024,C018,,2,£24.99,complete,Yorkshire
ORD-020,2024-01-25,C019,P008,1,19.99,complete,London
ORD-021,2024-01-25,C020,P001,1,-89.99,pending,Midlands
ORD-022,25/01/2024,C021,P003,2,24.99,complete,North West
ORD-023,2024-01-26,C022,P007,5,14.99,COMPLETE,South East
ORD-024,2024-01-26,C023,P005,1,129.99,complete,Wales
ORD-025,26/1/24,C024,P009,3,49.99,pending,Scotland
ORD-002,15/01/2024,C002,P007,1,14.99,Complete,South East
ORD-014,2024-01-22,C013,P005,1,£129.99,COMPLETE,South East
ORD-026,2024-01-28,C025,P002,2,59.99,complete,North West
ORD-027,28/01/2024,C026,P004,1,18.99,complete,Yorkshire
ORD-028,2024-01-29,C027,P008,3,19.99,Pending,London
